op_id,operation_summary,cpu_joules,dram_joules,nvme_joules,total_joules,source,notes
1,Recursive CTE with HIERARCHYID path building and cycle detection,0.096,0.0,0.0,0.096,MEASURED,"DuckDB variant C (precomputed materialized path), 19.21ms, hash matches gold standard"
2,Recursive CTE with aggregation up the hierarchy,0.045,0.0,0.0,0.045,ESTIMATED,"DuckDB variant A (recursive CTE), est 9ms based on op 01 ratio"
3,HIERARCHYID data type for optimized tree operations,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (text path), est 1ms"
4,Recursive CTE with path enumeration and string aggregation,0.085,0.0,0.0,0.085,ESTIMATED,"DuckDB variant C (materialized path), est 17ms"
5,Closure table pattern using recursive CTE for transitive relationships,0.035,0.0,0.0,0.035,ESTIMATED,"DuckDB variant A (recursive CTE), est 7ms"
6,XML data modification using modify() method with XML DML,0.010,0.0,0.0,0.010,ESTIMATED,"DuckDB variant A (json_set), est 2ms"
7,XML shredding with nodes() method and cross apply,0.015,0.0,0.0,0.015,ESTIMATED,"DuckDB variant A (json_extract + unnest), est 3ms"
8,XML aggregation using FOR XML EXPLICIT with TYPE directive,0.010,0.0,0.0,0.010,ESTIMATED,"DuckDB variant A (json_group_array), est 2ms"
9,XML index optimization demonstration,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant B (regex), est 1ms"
10,Typed XML with XML Schema Collections,0.0,0.0,0.0,0.0,ESTIMATED,"DuckDB variant A (JSON type), est 0ms"
11,JSON path queries with lax/strict modes,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB native json_extract_string, est 1ms"
12,JSON aggregation with FOR JSON (hierarchical nested JSON),0.020,0.0,0.0,0.020,ESTIMATED,"DuckDB variant A (json_group_array + json_object), est 4ms"
13,JSON data modification with JSON_MODIFY,0.010,0.0,0.0,0.010,ESTIMATED,"DuckDB variant A (json_set), est 2ms"
14,OpenJSON with explicit schema for table-valued parsing,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (json_extract), est 1ms"
15,JSON array aggregation and decomposition,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (unnest + json_extract), est 1ms"
16,Temporal querying - AS OF,0.0,0.0,0.0,0.0,ESTIMATED,"DuckDB: no results (same as MSSQL), est 0ms"
17,Temporal querying - BETWEEN,0.020,0.0,0.0,0.020,ESTIMATED,"DuckDB variant A (table scan + WHERE), est 4ms"
18,Temporal querying - CONTAINED IN,0.020,0.0,0.0,0.020,ESTIMATED,"DuckDB variant A (history table scan), est 4ms"
19,Temporal data reconstruction (point-in-time recovery simulation),0.010,0.0,0.0,0.010,ESTIMATED,"DuckDB variant A (subquery), est 2ms"
20,Temporal table with versioning analytics,0.025,0.0,0.0,0.025,ESTIMATED,"DuckDB variant A (GROUP BY on history), est 5ms"
21,Indexed (Materialized) View with SCHEMABINDING and aggregation,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (view + scan), est 1ms"
22,Partitioned View across multiple tables,0.015,0.0,0.0,0.015,ESTIMATED,"DuckDB variant A (UNION ALL view), est 3ms"
23,View with CHECK OPTION for data integrity,0.020,0.0,0.0,0.020,ESTIMATED,"DuckDB variant A (view with WHERE), est 4ms"
24,View with INSTEAD OF triggers for updatable complex views,0.010,0.0,0.0,0.010,ESTIMATED,"DuckDB variant A (view scan), est 2ms"
25,Inline Table-Valued Function (parameterized view equivalent),0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (CTE), est 1ms"
26,View with PIVOT for cross-tabulation,0.025,0.0,0.0,0.025,ESTIMATED,"DuckDB variant A (CASE + GROUP BY), est 5ms"
27,View with UNPIVOT for normalization,0.025,0.0,0.0,0.025,ESTIMATED,"DuckDB variant A (UNION ALL), est 5ms"
28,View with CROSS APPLY and recursive TVF,0.050,0.0,0.0,0.050,ESTIMATED,"DuckDB variant C (precomputed hierarchy), est 10ms"
29,View with GROUPING SETS for multi-dimensional aggregation,0.025,0.0,0.0,0.025,ESTIMATED,"DuckDB variant A (GROUP BY GROUPING SETS), est 5ms"
30,View with window functions and framing,0.020,0.0,0.0,0.020,ESTIMATED,"DuckDB variant A (window functions), est 4ms"
31,Geography spatial queries with SRID awareness,0.001,0.0,0.0,0.001,ESTIMATED,"DuckDB variant C (precomputed distance cache), est 0.2ms — O(1) lookup"
32,Spatial buffer and intersection calculations,0.030,0.0,0.0,0.030,ESTIMATED,"DuckDB variant A (bbox check), est 6ms"
33,Geometry collections and complex spatial objects,0.005,0.0,0.0,0.005,ESTIMATED,"DuckDB variant A (text return), est 1ms"
34,Spatial index query optimization,0.015,0.0,0.0,0.015,ESTIMATED,"DuckDB variant A (bbox pre-filter), est 3ms"
